dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_pymfe_attr_conc.mean,mf_pymfe_attr_ent.mean,mf_pymfe_attr_to_inst,mf_pymfe_cat_to_num,mf_pymfe_class_conc.mean,mf_pymfe_class_ent,mf_pymfe_eq_num_attr,mf_pymfe_freq_class.mean,mf_pymfe_inst_to_attr,mf_pymfe_joint_ent.mean,mf_pymfe_mut_inf.mean,mf_pymfe_nr_attr,mf_pymfe_nr_bin,mf_pymfe_nr_cat,mf_pymfe_nr_class,mf_pymfe_nr_inst,mf_pymfe_nr_num,mf_pymfe_ns_ratio,mf_pymfe_num_to_cat
278,metainstanceincrementalarff,74,62,random_forest,0.0885586004215749,1.7086226662735746,0.8378378378378378,0.0,0.10428781486958773,1.2358298841158202,5.753870121429109,0.25,1.1935483870967742,2.72967017643326,0.21478237395613523,62.0,3.0,0.0,4.0,74.0,62.0,6.955134468448163,0.0
285,flags,194,29,random_forest,0.12882718949214245,1.435517161307647,0.14948453608247422,0.16,0.11819575167760611,2.5463397438548068,9.170481706876746,0.125,6.689655172413793,3.704189948807766,0.27766695635468763,29.0,13.0,4.0,8.0,194.0,25.0,4.169924358856511,6.25
307,307,990,12,random_forest,0.04672497313930787,3.050227793047553,0.012121212121212121,0.2,0.06550215696633178,3.4594316186372978,9.521319749736222,0.09090909090909091,82.5,6.146324106331501,0.36333530535335057,12.0,1.0,2.0,11.0,990.0,10.0,7.395076801251527,5.0
327,bridges,105,12,random_forest,0.17209581854872924,1.8699788810395883,0.11428571428571428,2.0,0.25772717247592997,2.3176028118111756,4.233476902931691,0.16666666666666666,8.75,3.640135027863355,0.5474466649874082,12.0,0.0,8.0,6.0,105.0,4.0,2.415819294620417,0.5
328,bridges,105,12,random_forest,0.1701153506188817,1.8440527636767234,0.11428571428571428,5.0,0.24885857447345408,2.3176028118111756,4.383216335233725,0.16666666666666666,8.75,3.6329107829524427,0.5287447925354555,12.0,0.0,10.0,6.0,105.0,2.0,2.4876045867687075,0.2
329,hayesroth,160,4,random_forest,0.036064709032703084,1.7374254111348286,0.025,0.0,0.07713122140287912,1.5154656357070957,7.288488955279123,0.3333333333333333,40.0,3.044965145464324,0.20792590137760025,4.0,0.0,0.0,3.0,160.0,4.0,7.355983548098739,0.0
333,monksproblems,556,6,random_forest,0.00048004715414893406,1.4589229391616845,0.01079136690647482,0.0,0.018656187167957472,1.0,19.286968788026606,0.5,92.66666666666667,2.407074459963605,0.05184847919807919,6.0,2.0,0.0,2.0,556.0,6.0,27.13820119174745,0.0
334,monksproblems,601,6,random_forest,0.0004895971472841513,1.458930669546975,0.009983361064891847,0.0,0.0024665841099450058,0.9274373177990278,255.35315950520942,0.5,100.16666666666667,2.3827360083268436,0.0036319790191595702,6.0,2.0,0.0,2.0,601.0,6.0,400.69028010645496,0.0
335,monksproblems,554,6,random_forest,0.00039390822650856944,1.4589592735868127,0.010830324909747292,0.0,0.05260541980779885,0.9988621511417832,9.435369486111064,0.5,92.33333333333333,2.3519578279068587,0.10586359682173718,6.0,2.0,0.0,2.0,554.0,6.0,12.781501076744462,0.0
336,SPECT,267,22,logreg,0.06560077213045486,0.8636629313475083,0.08239700374531835,0.0,0.05055145707270289,0.7337524087989602,17.02282308772732,0.5,12.136363636363637,1.5543113024073953,0.043104037739072905,22.0,22.0,0.0,2.0,267.0,22.0,19.03670599435783,0.0
