dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_basic_n_samples,mf_basic_n_features,mf_basic_n_numeric,mf_basic_n_categorical,mf_basic_n_classes,mf_basic_missing_ratio,mf_stat_num_mean_abs,mf_stat_num_std_mean,mf_stat_num_skew_abs_mean,mf_stat_num_kurt_mean,mf_stat_abs_corr_mean,mf_stat_target_entropy,mf_struct_samples_per_feature,mf_struct_cat_to_num_ratio,mf_struct_class_imbalance,mf_struct_mean_unique_ratio,mf_struct_zero_ratio_numeric,mf_struct_avg_cat_cardinality
471,471,365,5,random_forest,365.0,5.0,5.0,0.0,12.0,0.000547945205479452,112.58,64.74841709817751,0.004027715015779194,-1.2043737513698602,0.20747449895722866,3.584373451984075,73.0,0.0,1.1071428571428572,0.6126027397260273,0.0,0.0
472,lupus,87,3,logreg,87.0,3.0,3.0,0.0,2.0,0.0,51.41436781609195,32.028810065034314,1.3227891762406592,2.602874336836057,0.33265163312693374,0.9722794620939967,29.0,0.0,1.4857142857142858,0.49425287356321834,0.0,0.0
474,analcatdatamarketing,362,32,logreg,362.0,32.0,32.0,0.0,5.0,0.008459944751381215,3.235928867403315,0.9987255074828522,0.5541718492453741,0.20706256845169319,0.12642616365115497,1.5917951351097224,11.3125,0.0,18.454545454545453,0.013639502762430939,0.0,0.0
475,analcatdatagermangss,400,5,logreg,400.0,5.0,2.0,3.0,4.0,0.0,1003.29875,15.263156325293084,1.6109108314119527,4.9631706196097,0.04360058335001553,1.9999999999942293,80.0,1.5,1.0,0.0435,0.11875,4.0
476,analcatdatabankruptcy,50,6,logreg,50.0,6.0,5.0,1.0,2.0,0.0,21.634847999999998,37.448424881357674,2.280324739353059,8.450045797531711,0.15538167720993382,0.9999999999971146,8.333333333333334,0.2,1.0,0.9733333333333333,0.012,50.0
478,478,500,23,random_forest,500.0,23.0,22.0,1.0,15.0,0.0,14.631925454545454,7.639983091147465,1.059712106647997,3.397683576815524,0.23355741594484083,3.6485620759911366,21.73913043478261,0.045454545454545456,13.333333333333334,0.44973913043478253,0.018363636363636363,500.0
479,analcatdatacyyoung,92,10,random_forest,92.0,10.0,7.0,3.0,2.0,0.0,335.00423611801233,29.038738343293634,0.39687017647510914,-0.8896984421817669,0.4354554637959943,0.734781352209895,9.2,0.42857142857142855,3.8421052631578947,0.4445652173913044,0.08229813664596274,21.0
480,prnnviruses,61,18,logreg,61.0,18.0,18.0,0.0,4.0,0.0,9.646630236794174,3.112043442174597,0.8128005845555439,0.9742848991767986,0.28817143383867017,1.4307198723447827,3.388888888888889,0.0,13.0,0.1848816029143898,0.058287795992714025,0.0
481,biomed,209,8,random_forest,209.0,8.0,8.0,0.0,2.0,0.008971291866028708,8406.782057416267,3705.499709407661,1.7825399172987737,7.256738269700403,0.20419149842812584,0.9417258626591813,26.125,0.0,1.7866666666666666,0.44258373205741625,0.0,0.0
501,analcatdataimpeach,100,10,random_forest,100.0,10.0,4.0,6.0,2.0,0.0,524.385,11.706979057306286,0.10126687182392954,-1.344209924482016,0.3324877630708379,0.9580420222234143,10.0,1.5,1.631578947368421,0.21600000000000003,0.145,26.333333333333332
